지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),전운량(10분위),지면온도(°C)
112,인천,2018-01-01 01:00,-1.6,,1.6,47,1017.3,,,-1.7
112,인천,2018-01-01 02:00,-1.9,,1.5,47,1017.3,,,-1.8
112,인천,2018-01-01 03:00,-1.8,,1.7,44,1017.5,,0,-2.1
112,인천,2018-01-01 04:00,-2,,1.2,48,1017.7,,0,-2.2
112,인천,2018-01-01 05:00,-2.4,,1.7,51,1017.8,,0,-2.5
112,인천,2018-01-01 06:00,-2.6,,1.5,57,1017.8,,0,-2.6
112,인천,2018-01-01 07:00,-2.5,,1.1,60,1018.1,,0,-2.8
112,인천,2018-01-01 08:00,-2.6,,1.6,61,1018.6,,0,-2.9
112,인천,2018-01-01 09:00,-1.8,,.9,60,1018.9,,2,-2.1
112,인천,2018-01-01 10:00,-.6,,1.4,38,1019.7,,7,-.1
112,인천,2018-01-01 11:00,.2,,1.7,31,1020.2,,7,.4
112,인천,2018-01-01 12:00,.7,,1.9,28,1019.9,,6,.7
112,인천,2018-01-01 13:00,1.3,,.5,26,1019,,5,.2
112,인천,2018-01-01 14:00,2.1,,2,27,1018.6,,7,.7
112,인천,2018-01-01 15:00,2.5,,2.4,29,1018.5,,6,.5
112,인천,2018-01-01 16:00,2.3,,2.3,39,1018.7,,8,.3
112,인천,2018-01-01 17:00,1.8,,2.7,37,1018.9,,0,-.1
112,인천,2018-01-01 18:00,.9,,1.5,39,1019.1,,0,-.3
112,인천,2018-01-01 19:00,.2,,1.4,44,1019.3,,,-.4
112,인천,2018-01-01 20:00,0,,.9,51,1019.4,,,-.5
112,인천,2018-01-01 21:00,-.3,,.7,52,1019.6,,0,-.8
112,인천,2018-01-01 22:00,-.1,,1.6,51,1019.6,,,-1.3
112,인천,2018-01-01 23:00,.2,,2.2,55,1019.6,,,-1.6
112,인천,2018-01-02 00:00,-.2,,1.7,58,1019.7,,0,-1.9
112,인천,2018-01-02 01:00,-.6,,1.1,61,1019.8,,,-2.2
112,인천,2018-01-02 02:00,-.5,,1.1,65,1019.6,,,-2.2
112,인천,2018-01-02 03:00,-.7,,1.5,66,1019.9,,0,-2.4
112,인천,2018-01-02 04:00,-.9,,1,69,1019.4,,0,-2.5
112,인천,2018-01-02 05:00,-1.1,,1.9,81,1019.4,,0,-2.5
112,인천,2018-01-02 06:00,-1.6,,2.5,71,1019.9,,0,-2.6
112,인천,2018-01-02 07:00,-2.3,,3,68,1020.1,,0,-2.8
112,인천,2018-01-02 08:00,-2.5,,3,60,1020.3,,3,-2.8
112,인천,2018-01-02 09:00,-2.4,,1.8,57,1020.8,,7,-2
112,인천,2018-01-02 10:00,-1.6,,3.1,44,1021.3,,0,-.7
112,인천,2018-01-02 11:00,-.7,,4.3,38,1021.5,,0,-.1
112,인천,2018-01-02 12:00,0,,5.9,28,1020.7,,0,.1
112,인천,2018-01-02 13:00,.5,,4.5,28,1020.3,,7,.7
112,인천,2018-01-02 14:00,.5,,3.4,32,1019.7,,3,.4
112,인천,2018-01-02 15:00,.8,,5,32,1019.4,,3,.6
112,인천,2018-01-02 16:00,.4,,6,31,1019.5,,3,-.3
112,인천,2018-01-02 17:00,-.1,,4,37,1020.3,,3,-.3
112,인천,2018-01-02 18:00,-.5,,4.2,36,1020.8,,5,-.5
112,인천,2018-01-02 19:00,-1,,4.8,35,1020,,,-.8
112,인천,2018-01-02 20:00,-1.7,,4,33,1020,,,-1.5
112,인천,2018-01-02 21:00,-2.4,,4,35,1019.8,,8,-2
112,인천,2018-01-02 22:00,-3.6,,5.6,43,1020.5,,,-2.6
112,인천,2018-01-02 23:00,-4.1,,3.4,48,1021.4,,,-2.8
112,인천,2018-01-03 00:00,-4.3,,4.6,45,1021.9,,7,-3.2
112,인천,2018-01-03 01:00,-4.9,,4.5,46,1021.4,,,-3.6
112,인천,2018-01-03 02:00,-4.9,,3.4,48,1022.1,,,-4
112,인천,2018-01-03 03:00,-5.2,,3.3,49,1022.3,,4,-4.1
112,인천,2018-01-03 04:00,-5.4,,3.9,47,1022.3,,6,-4.2
112,인천,2018-01-03 05:00,-5.6,,4.4,48,1022.2,,4,-4.5
112,인천,2018-01-03 06:00,-5.8,,4.9,46,1022.2,,3,-4.6
112,인천,2018-01-03 07:00,-5.9,,3.3,52,1022.5,,2,-4.6
112,인천,2018-01-03 08:00,-5.9,,3.9,46,1023.2,,2,-4.8
112,인천,2018-01-03 09:00,-5.4,,3.1,45,1023.4,,2,-4
112,인천,2018-01-03 10:00,-5,,3.4,47,1023.6,,7,-.7
112,인천,2018-01-03 11:00,-4.4,,3.2,47,1023.9,,7,.1
112,인천,2018-01-03 12:00,-3.7,,4.5,42,1023.2,,5,.6
112,인천,2018-01-03 13:00,-2.8,,3.3,42,1022.2,,6,4.1
112,인천,2018-01-03 14:00,-2.3,,4.8,42,1021.7,,2,3.3
112,인천,2018-01-03 15:00,-2,,3.9,40,1021.3,,6,2.6
112,인천,2018-01-03 16:00,-1.9,,3.7,41,1021.5,,2,.4
112,인천,2018-01-03 17:00,-2.3,,3.6,48,1021.3,,2,-.9
112,인천,2018-01-03 18:00,-2.8,,2.9,49,1021,,2,-1.1
112,인천,2018-01-03 19:00,-3,,3.1,51,1021.7,,,-1.6
112,인천,2018-01-03 20:00,-3.1,,4,51,1021.6,,,-2.3
112,인천,2018-01-03 21:00,-4.2,,5.9,57,1021.7,,8,-3.2
112,인천,2018-01-03 22:00,-5.3,,5.2,59,1022.2,,,-3.8
112,인천,2018-01-03 23:00,-5.8,,4.4,56,1022.2,,,-4.3
112,인천,2018-01-04 00:00,-6,,4.8,54,1022.3,,0,-4.9
112,인천,2018-01-04 01:00,-6.4,,4.2,54,1022.2,,,-5.3
112,인천,2018-01-04 02:00,-6.3,,4.5,53,1021.9,,,-5.6
112,인천,2018-01-04 03:00,-6.4,,3.6,50,1022.5,,3,-5.6
112,인천,2018-01-04 04:00,-6.2,,4.6,46,1022,,3,-5.5
112,인천,2018-01-04 05:00,-6.4,,4.8,44,1021.5,,0,-5.8
112,인천,2018-01-04 06:00,-6.9,,3,49,1021.4,,0,-5.7
112,인천,2018-01-04 07:00,-7.4,,2.7,50,1021,,0,-5.9
