지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),전운량(10분위),지면온도(°C)
112,인천,2016-01-01 01:00,.2,,1.2,87,1024,,,-.5
112,인천,2016-01-01 02:00,0,,1.8,93,1024.1,,,-.6
112,인천,2016-01-01 03:00,-.3,,2.1,95,1024.2,,0,-.6
112,인천,2016-01-01 04:00,-.3,,1.8,98,1023.7,,0,-.7
112,인천,2016-01-01 05:00,-.2,,1.1,93,1023.5,,8,-.4
112,인천,2016-01-01 06:00,0,,0,94,1023.7,,7,-.3
112,인천,2016-01-01 07:00,.1,,1.5,97,1024.1,,7,-.4
112,인천,2016-01-01 08:00,-.1,,2.5,96,1023.8,,9,-.5
112,인천,2016-01-01 09:00,.7,,1.6,92,1024.1,,7,-.1
112,인천,2016-01-01 10:00,1.3,,1.4,90,1024.4,,9,0
112,인천,2016-01-01 11:00,2.6,,2.4,85,1024.1,,9,0
112,인천,2016-01-01 12:00,3.6,,2.1,78,1023.1,,9,.6
112,인천,2016-01-01 13:00,5.5,,2.9,70,1021.9,,8,5.4
112,인천,2016-01-01 14:00,5.1,,2.1,70,1021.6,,9,5.4
112,인천,2016-01-01 15:00,5.5,,3.1,68,1020.8,,9,5.7
112,인천,2016-01-01 16:00,5.1,,2.5,74,1020.5,,9,4.4
112,인천,2016-01-01 17:00,5,,2.3,78,1020.2,,9,3.3
112,인천,2016-01-01 18:00,5.2,,2.5,77,1020.1,,9,2.6
112,인천,2016-01-01 19:00,5.3,,3.1,78,1019.8,,,2.2
112,인천,2016-01-01 20:00,5.6,,3.7,77,1019.6,,,2.5
112,인천,2016-01-01 21:00,5.4,,3.9,82,1019,,9,2.5
112,인천,2016-01-01 22:00,5.1,,4.4,83,1018.5,,,2.4
112,인천,2016-01-01 23:00,5.1,,3.8,84,1018.3,,,2.4
112,인천,2016-01-02 00:00,4.8,,4,85,1017.8,,9,2.1
112,인천,2016-01-02 01:00,4.8,,3.7,87,1017.5,,,2
112,인천,2016-01-02 02:00,4.8,,3.6,89,1017,,,1.7
112,인천,2016-01-02 03:00,5,,4,90,1016.5,,6,2.2
112,인천,2016-01-02 04:00,5,,2.9,91,1016.2,,7,2.3
112,인천,2016-01-02 05:00,4.9,,4.1,92,1015.6,,7,2.1
112,인천,2016-01-02 06:00,4.5,,3.8,94,1015.4,,7,1.8
112,인천,2016-01-02 07:00,4.2,,4.4,97,1014.7,,3,1.1
112,인천,2016-01-02 08:00,4,,3.6,98,1014.8,,2,.8
112,인천,2016-01-02 09:00,4.4,,3.2,98,1015,,3,2.4
112,인천,2016-01-02 10:00,6,,3,91,1015.3,,4,6.7
112,인천,2016-01-02 11:00,8.3,,2.7,82,1015,,3,13.2
112,인천,2016-01-02 12:00,9.3,,3.4,82,1014.1,,4,17.4
112,인천,2016-01-02 13:00,9.9,,4,84,1013.3,,5,17
112,인천,2016-01-02 14:00,10.7,,4.1,86,1012.8,,6,15.6
112,인천,2016-01-02 15:00,11,,3.1,87,1012.3,,6,13
112,인천,2016-01-02 16:00,10.2,,4.1,93,1011.9,,6,10.2
112,인천,2016-01-02 17:00,9.6,,3,98,1012,,9,7.5
112,인천,2016-01-02 18:00,9.1,,2.6,98,1011.7,,8,6.2
112,인천,2016-01-02 19:00,8.7,,1.7,98,1012.1,,,5.2
112,인천,2016-01-02 20:00,8.6,,2.6,98,1011.8,,,5.6
112,인천,2016-01-02 21:00,8.2,,2.5,98,1011.8,,5,4.2
112,인천,2016-01-02 22:00,8,,2.6,98,1011.8,,,4.3
112,인천,2016-01-02 23:00,7.6,,2.4,98,1011.4,,,4.2
112,인천,2016-01-03 00:00,7.4,,2.3,98,1011.5,,9,4.8
112,인천,2016-01-03 01:00,7.3,,1.8,98,1011.1,,,4.7
112,인천,2016-01-03 02:00,7,,2,98,1011.1,,,3.3
