지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),현지기압(hPa),적설(cm),전운량(10분위),지면온도(°C)
112,인천,2015-01-01 01:00,-6.5,,7.3,52,1014.2,,,-1.5
112,인천,2015-01-01 02:00,-6.9,,7.6,52,1014,,,-1.9
112,인천,2015-01-01 03:00,-7.1,,8.4,53,1014.3,,0,-2.2
112,인천,2015-01-01 04:00,-7.7,,8.2,49,1014.5,,0,-2.4
112,인천,2015-01-01 05:00,-8,,10.1,46,1014.3,,0,-2.6
112,인천,2015-01-01 06:00,-8.2,,8,51,1014.5,,0,-2.9
112,인천,2015-01-01 07:00,-8.4,,8.3,55,1014.9,,0,-3.1
112,인천,2015-01-01 08:00,-8.7,,7.1,56,1015.6,,0,-3.2
112,인천,2015-01-01 09:00,-8.4,,6.7,56,1016.1,,0,-3
112,인천,2015-01-01 10:00,-8.1,,6.1,54,1016.9,,1,-2.5
112,인천,2015-01-01 11:00,-7.6,,6.1,53,1017.1,,1,-1.4
112,인천,2015-01-01 12:00,-6.9,,6.4,52,1016.6,,1,-.6
112,인천,2015-01-01 13:00,-6.1,,6.4,53,1015.9,,1,-.3
112,인천,2015-01-01 14:00,-5.5,,6.7,51,1015.4,,1,-.2
112,인천,2015-01-01 15:00,-5.3,,6.7,51,1015.6,,2,-.2
112,인천,2015-01-01 16:00,-5.3,,6.4,53,1016.1,,1,-.1
112,인천,2015-01-01 17:00,-5.6,,4.6,55,1016.1,,1,-.2
112,인천,2015-01-01 18:00,-6.1,,6,58,1016.5,,1,-1.2
112,인천,2015-01-01 19:00,-6.5,,7.3,62,1017,,,-2
112,인천,2015-01-01 20:00,-6.9,,5.9,61,1017.2,,,-2.6
112,인천,2015-01-01 21:00,-7.3,,5.3,64,1017.2,,3,-2.9
112,인천,2015-01-01 22:00,-7.6,,3.1,71,1017.5,,,-3
112,인천,2015-01-01 23:00,-7.5,,4.7,68,1017.2,,,-3.1
112,인천,2015-01-02 00:00,-7.5,,3.4,71,1016.6,,8,-2.9
